ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
E10.311	Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.319	Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.32	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.321	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3211	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3212	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3213	Type 1 diabetes with mild nonp rtnop with macular edema, bi	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3219	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.329	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3291	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3292	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3293	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3299	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.33	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.331	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3311	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3312	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3313	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3319	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.339	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3391	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3392	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3393	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3399	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.34	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.341	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3411	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3412	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3413	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3419	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.349	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3491	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3492	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3493	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3499	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.35	Type 1 diabetes mellitus with proliferative diabetic retinopathy	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.351	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3511	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3512	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3513	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3519	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.352	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3521	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3522	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3523	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3529	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.353	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3531	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3532	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3533	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3539	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.354	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3541	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3542	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3543	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3549	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.355	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3551	Type 1 diabetes with stable prolif diabetic rtnop, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3552	Type 1 diabetes with stable prolif diabetic rtnop, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3553	Type 1 diabetes with stable prolif diabetic rtnop, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3559	Type 1 diabetes with stable prolif diabetic rtnop, unsp	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.359	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3591	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3592	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3593	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.3599	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.36	Type 1 diabetes mellitus with diabetic cataract	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.37	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.37X1	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.37X2	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.37X3	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.37X9	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.39	Type 1 diabetes mellitus with other diabetic ophthalmic complication	250.13|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.4	Type 1 diabetes mellitus with neurological complications	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.40	Type 1 diabetes mellitus with diabetic neuropathy, unspecified	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.41	Type 1 diabetes mellitus with diabetic mononeuropathy	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.42	Type 1 diabetes mellitus with diabetic polyneuropathy	250.14|250.6	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.43	Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.44	Type 1 diabetes mellitus with diabetic amyotrophy	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.49	Type 1 diabetes mellitus with other diabetic neurological complication	250.14	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.5	Type 1 diabetes mellitus with circulatory complications	250.15	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.51	Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene	250.15	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.52	Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene	250.15	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.59	Type 1 diabetes mellitus with other circulatory complications	250.15	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.6	Type 1 diabetes mellitus with other specified complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.61	Type 1 diabetes mellitus with diabetic arthropathy	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.610	Type 1 diabetes mellitus with diabetic neuropathic arthropathy	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.618	Type 1 diabetes mellitus with other diabetic arthropathy	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.62	Type 1 diabetes mellitus with skin complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.620	Type 1 diabetes mellitus with diabetic dermatitis	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.621	Type 1 diabetes mellitus with foot ulcer	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.622	Type 1 diabetes mellitus with other skin ulcer	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.628	Type 1 diabetes mellitus with other skin complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.63	Type 1 diabetes mellitus with oral complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.630	Type 1 diabetes mellitus with periodontal disease	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.638	Type 1 diabetes mellitus with other oral complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.64	Type 1 diabetes mellitus with hypoglycemia	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.641	Type 1 diabetes mellitus with hypoglycemia with coma	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.649	Type 1 diabetes mellitus with hypoglycemia without coma	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.65	Type 1 diabetes mellitus with hyperglycemia	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.69	Type 1 diabetes mellitus with other specified complication	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.8	Type 1 diabetes mellitus with unspecified complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.9	Type 1 diabetes mellitus without complications	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.A	Type 1 diabetes mellitus, presymptomatic	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.A0	Type 1 diabetes mellitus, presymptomatic,unspecified	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.A1	Type 1 diabetes mellitus, presymptomatic,Stage 1	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E10.A2	Type 1 diabetes mellitus, presymptomatic,Stage 2	250.1	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11	Type 2 diabetes mellitus	250.2	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.0	Type 2 diabetes mellitus with hyperosmolarity	250.2	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.00	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)	250.2	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.01	Type 2 diabetes mellitus with hyperosmolarity with coma	250.2	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.1	Type 2 diabetes mellitus with ketoacidosis	250.21	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.10	Type 2 diabetes mellitus with ketoacidosis without coma	250.21	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.11	Type 2 diabetes mellitus with ketoacidosis with coma	250.21	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.2	Type 2 diabetes mellitus with kidney complications	250.22	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.21	Type 2 diabetes mellitus with diabetic nephropathy	250.22	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.22	Type 2 diabetes mellitus with diabetic chronic kidney disease	250.22	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.29	Type 2 diabetes mellitus with other diabetic kidney complication	250.22	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3	Type 2 diabetes mellitus with ophthalmic complications	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.31	Type 2 diabetes mellitus with unspecified diabetic retinopathy	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.311	Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.319	Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.32	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.321	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3211	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3212	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3213	Type 2 diabetes with mild nonp rtnop with macular edema, bi	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3219	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.329	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3291	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3292	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3293	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3299	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.33	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.331	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3311	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3312	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3313	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3319	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.339	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3391	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3392	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3393	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3399	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.34	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.341	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3411	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3412	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3413	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3419	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.349	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3491	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3492	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3493	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3499	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.35	Type 2 diabetes mellitus with proliferative diabetic retinopathy	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.351	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3511	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3512	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3513	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3519	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.352	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3521	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3522	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3523	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
E11.3529	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye	250.23|250.7	Exclusion	Type 1 diabetes (T1D)/Type 2 diabetes (T2D)
